,RHY,RHR,RHP,RKN,RAP,RAR,LHY,LHR,LHP,LKN,LAP,LAR,RSP,RSR,RSY,REB,RWY,RWR,RWP,LSP,LSR,LSY,LEB,LWY,LWR,LWP,NKY,NK1,NK2,WST,RF1,RF2,RF3,RF4,RF5,LF1,LF2,LF3,LF4,LF5
+0.000000,+0.000000,+0.000001,-0.376130,+0.759750,-0.380740,-0.000001,+0.000000,+0.000001,-0.376130,+0.759750,-0.380740,-0.000001,+0.174280,-0.174330,+0.000023,-0.523070,+0.000000,+0.000000,+0.000000,+0.174490,+0.174410,+0.000033,-0.523180,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,-0.000012,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
,,,-0.376554,+0.757125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.376977,+0.754500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.377401,+0.751875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.377824,+0.749250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.378248,+0.746625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.378672,+0.744000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.379095,+0.741375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.379519,+0.738750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.379942,+0.736125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.380366,+0.733500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.380789,+0.730875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.381213,+0.728250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.381637,+0.725625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.382060,+0.723000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
